LegacyContractId;LegacyCustomerId;SubscriberNo;TargetCustomerId;SourceCustomerType;ExpectedCustomerTypeId;ExpectedCustomerType;ActualCustomerTypeId;ActualCustomerType;IssueCodes
"11635";"33854";;;;;;;;"CUSTOMER_ORPHAN"
"11675";"35321";;;;;;;;"CUSTOMER_ORPHAN"
"11688";"35502";;;;;;;;"CUSTOMER_ORPHAN"
"11731";"35352";;;;;;;;"CUSTOMER_ORPHAN"
"11741";"35628";;;;;;;;"CUSTOMER_ORPHAN"
"11754";"38035";;;;;;;;"CUSTOMER_ORPHAN"
"11816";"35400";;;;;;;;"CUSTOMER_ORPHAN"
"11819";"35714";;;;;;;;"CUSTOMER_ORPHAN"
"11882";"34876";;;;;;;;"CUSTOMER_ORPHAN"
"11956";"36443";;;;;;;;"CUSTOMER_ORPHAN"
"11972";"37012";;;;;;;;"CUSTOMER_ORPHAN"
"12039";"37671";;;;;;;;"CUSTOMER_ORPHAN"
"12076";"35446";;;;;;;;"CUSTOMER_ORPHAN"
"12078";"36856";;;;;;;;"CUSTOMER_ORPHAN"
"12243";"36918";;;;;;;;"CUSTOMER_ORPHAN"
"12245";"37081";;;;;;;;"CUSTOMER_ORPHAN"
"12251";"33974";;;;;;;;"CUSTOMER_ORPHAN"
"1394";"1284";;;;;;;;"CUSTOMER_ORPHAN"
"1399";"1279";;;;;;;;"CUSTOMER_ORPHAN"
"1401";"1276";;;;;;;;"CUSTOMER_ORPHAN"
"1473";"1162";;;;;;;;"CUSTOMER_ORPHAN"
"1586";"1051";;;;;;;;"CUSTOMER_ORPHAN"
"1614";"1023";;;;;;;;"CUSTOMER_ORPHAN"
"1615";"1023";;;;;;;;"CUSTOMER_ORPHAN"
"1694";"952";;;;;;;;"CUSTOMER_ORPHAN"
"1705";"940";;;;;;;;"CUSTOMER_ORPHAN"
"1886";"676";;;;;;;;"CUSTOMER_ORPHAN"
"1966";"657";;;;;;;;"CUSTOMER_ORPHAN"
"1981";"642";;;;;;;;"CUSTOMER_ORPHAN"
"21817";"56011";;;;;;;;"CUSTOMER_ORPHAN"
"2197";"450";;;;;;;;"CUSTOMER_ORPHAN"
"22835";"57008";;;;;;;;"CUSTOMER_ORPHAN"
"22872";"58208";;;;;;;;"CUSTOMER_ORPHAN"
"22873";"58209";;;;;;;;"CUSTOMER_ORPHAN"
"2320";"344";;;;;;;;"CUSTOMER_ORPHAN"
"2321";"344";;;;;;;;"CUSTOMER_ORPHAN"
"2465";"189";;;;;;;;"CUSTOMER_ORPHAN"
"2488";"165";;;;;;;;"CUSTOMER_ORPHAN"
"2490";"163";;;;;;;;"CUSTOMER_ORPHAN"
"24943";"61379";;;;;;;;"CUSTOMER_ORPHAN"
"24962";"62521";;;;;;;;"CUSTOMER_ORPHAN"
"24985";"63633";;;;;;;;"CUSTOMER_ORPHAN"
"24987";"63744";;;;;;;;"CUSTOMER_ORPHAN"
"24988";"63765";;;;;;;;"CUSTOMER_ORPHAN"
"24990";"63848";;;;;;;;"CUSTOMER_ORPHAN"
"24993";"63954";;;;;;;;"CUSTOMER_ORPHAN"
"24994";"63956";;;;;;;;"CUSTOMER_ORPHAN"
"24995";"63958";;;;;;;;"CUSTOMER_ORPHAN"
"24996";"63961";;;;;;;;"CUSTOMER_ORPHAN"
"24997";"63962";;;;;;;;"CUSTOMER_ORPHAN"
"24998";"63967";;;;;;;;"CUSTOMER_ORPHAN"
"24999";"63969";;;;;;;;"CUSTOMER_ORPHAN"
"25000";"63973";;;;;;;;"CUSTOMER_ORPHAN"
"25001";"63993";;;;;;;;"CUSTOMER_ORPHAN"
"25002";"63994";;;;;;;;"CUSTOMER_ORPHAN"
"25003";"64225";;;;;;;;"CUSTOMER_ORPHAN"
"25004";"64253";;;;;;;;"CUSTOMER_ORPHAN"
"25005";"64256";;;;;;;;"CUSTOMER_ORPHAN"
"25006";"64263";;;;;;;;"CUSTOMER_ORPHAN"
"25007";"64264";;;;;;;;"CUSTOMER_ORPHAN"
"25008";"64269";;;;;;;;"CUSTOMER_ORPHAN"
"25009";"64273";;;;;;;;"CUSTOMER_ORPHAN"
"25011";"64281";;;;;;;;"CUSTOMER_ORPHAN"
"25012";"64282";;;;;;;;"CUSTOMER_ORPHAN"
"25013";"64283";;;;;;;;"CUSTOMER_ORPHAN"
"25014";"64284";;;;;;;;"CUSTOMER_ORPHAN"
"25015";"64285";;;;;;;;"CUSTOMER_ORPHAN"
"25016";"64286";;;;;;;;"CUSTOMER_ORPHAN"
"25039";"65565";;;;;;;;"CUSTOMER_ORPHAN"
"25040";"65576";;;;;;;;"CUSTOMER_ORPHAN"
"25080";"67060";;;;;;;;"CUSTOMER_ORPHAN"
"2509";"148";;;;;;;;"CUSTOMER_ORPHAN"
"25105";"68075";;;;;;;;"CUSTOMER_ORPHAN"
"25106";"68082";;;;;;;;"CUSTOMER_ORPHAN"
"25117";"68543";;;;;;;;"CUSTOMER_ORPHAN"
"25164";"70276";;;;;;;;"CUSTOMER_ORPHAN"
"25165";"70326";;;;;;;;"CUSTOMER_ORPHAN"
"25167";"70584";;;;;;;;"CUSTOMER_ORPHAN"
"2525";"132";;;;;;;;"CUSTOMER_ORPHAN"
"2529";"129";;;;;;;;"CUSTOMER_ORPHAN"
"25422";"74202";;;;;;;;"CUSTOMER_ORPHAN"
"26479";"75978";;;;;;;;"CUSTOMER_ORPHAN"
"26522";"79345";;;;;;;;"CUSTOMER_ORPHAN"
"26523";"79359";;;;;;;;"CUSTOMER_ORPHAN"
"26525";"79389";;;;;;;;"CUSTOMER_ORPHAN"
"27528";"79730";;;;;;;;"CUSTOMER_ORPHAN"
"27529";"79752";;;;;;;;"CUSTOMER_ORPHAN"
"27537";"80089";;;;;;;;"CUSTOMER_ORPHAN"
"27580";"81416";;;;;;;;"CUSTOMER_ORPHAN"
"27586";"81459";;;;;;;;"CUSTOMER_ORPHAN"
"28632";"83016";;;;;;;;"CUSTOMER_ORPHAN"
"28658";"84234";;;;;;;;"CUSTOMER_ORPHAN"
"28659";"84235";;;;;;;;"CUSTOMER_ORPHAN"
"28692";"85424";;;;;;;;"CUSTOMER_ORPHAN"
"28768";"87860";;;;;;;;"CUSTOMER_ORPHAN"
"28769";"87905";;;;;;;;"CUSTOMER_ORPHAN"
"28771";"87923";;;;;;;;"CUSTOMER_ORPHAN"
"28772";"87924";;;;;;;;"CUSTOMER_ORPHAN"
"28773";"87925";;;;;;;;"CUSTOMER_ORPHAN"
"28774";"87926";;;;;;;;"CUSTOMER_ORPHAN"
"28775";"87927";;;;;;;;"CUSTOMER_ORPHAN"
"28776";"87928";;;;;;;;"CUSTOMER_ORPHAN"
"28777";"87989";;;;;;;;"CUSTOMER_ORPHAN"
"28778";"87990";;;;;;;;"CUSTOMER_ORPHAN"
"28779";"87991";;;;;;;;"CUSTOMER_ORPHAN"
"28780";"87992";;;;;;;;"CUSTOMER_ORPHAN"
"28781";"87993";;;;;;;;"CUSTOMER_ORPHAN"
"28782";"87994";;;;;;;;"CUSTOMER_ORPHAN"
"28783";"87983";;;;;;;;"CUSTOMER_ORPHAN"
"28784";"87984";;;;;;;;"CUSTOMER_ORPHAN"
"28785";"87985";;;;;;;;"CUSTOMER_ORPHAN"
"28786";"87986";;;;;;;;"CUSTOMER_ORPHAN"
"28787";"87987";;;;;;;;"CUSTOMER_ORPHAN"
"28788";"87988";;;;;;;;"CUSTOMER_ORPHAN"
"28789";"87977";;;;;;;;"CUSTOMER_ORPHAN"
"28790";"87978";;;;;;;;"CUSTOMER_ORPHAN"
"28791";"87979";;;;;;;;"CUSTOMER_ORPHAN"
"28792";"87980";;;;;;;;"CUSTOMER_ORPHAN"
"28793";"87981";;;;;;;;"CUSTOMER_ORPHAN"
"28794";"87982";;;;;;;;"CUSTOMER_ORPHAN"
"28795";"87971";;;;;;;;"CUSTOMER_ORPHAN"
"28796";"87972";;;;;;;;"CUSTOMER_ORPHAN"
"28797";"87973";;;;;;;;"CUSTOMER_ORPHAN"
"28798";"87974";;;;;;;;"CUSTOMER_ORPHAN"
"28799";"87975";;;;;;;;"CUSTOMER_ORPHAN"
"28800";"87976";;;;;;;;"CUSTOMER_ORPHAN"
"28801";"87965";;;;;;;;"CUSTOMER_ORPHAN"
"28802";"87966";;;;;;;;"CUSTOMER_ORPHAN"
"28803";"87967";;;;;;;;"CUSTOMER_ORPHAN"
"28804";"87968";;;;;;;;"CUSTOMER_ORPHAN"
"28805";"87969";;;;;;;;"CUSTOMER_ORPHAN"
"28806";"87970";;;;;;;;"CUSTOMER_ORPHAN"
"28807";"87959";;;;;;;;"CUSTOMER_ORPHAN"
"28808";"87960";;;;;;;;"CUSTOMER_ORPHAN"
"28809";"87961";;;;;;;;"CUSTOMER_ORPHAN"
"28810";"87962";;;;;;;;"CUSTOMER_ORPHAN"
"28811";"87963";;;;;;;;"CUSTOMER_ORPHAN"
"28812";"87964";;;;;;;;"CUSTOMER_ORPHAN"
"28813";"87953";;;;;;;;"CUSTOMER_ORPHAN"
"28814";"87954";;;;;;;;"CUSTOMER_ORPHAN"
"28815";"87955";;;;;;;;"CUSTOMER_ORPHAN"
"28816";"87956";;;;;;;;"CUSTOMER_ORPHAN"
"28817";"87957";;;;;;;;"CUSTOMER_ORPHAN"
